case1,case2,label
52343,4346,1
65618,99108,0
87018,56251,0
43509,18172,0
93749,97528,0
46338,18689,0
6064,28505,0
67091,72130,0
86104,28681,0
45781,84112,1
2231,88992,0
22770,80433,1
74999,91515,0
71818,65522,0
25018,99843,0
85715,47317,0
83266,54041,0
52913,95229,1
29127,13474,1
44895,37549,0
22664,84593,0
41256,10284,0
19135,7379,0
63548,30493,0
49001,39228,0
90219,81862,0
28112,87571,0
27997,96106,0
20795,205,0
87995,58386,0
47723,66381,0
96538,68496,0
77874,55686,1
88262,97847,0
49485,19051,0
8810,46478,0
28025,21799,0
26652,79708,0
19233,96729,1
78986,3604,0
27893,9378,0
78688,55824,0
70995,97432,0
56708,7123,0
70729,52216,0
33056,54661,0
56224,4541,0
51503,56250,0
48573,42413,0
77605,30417,0
87353,5560,1
1787,45607,0
65003,47278,0
22925,79675,0
96349,71217,0
12027,87051,0
47123,58440,0
53622,81284,0
92130,64185,0
89450,23563,1
8719,86015,0
71992,67871,0
64339,35757,0
23598,59272,0
65482,21341,0
61973,99641,0
5414,78087,1
40187,19324,0
79305,65172,0
64147,9665,0
16763,95571,0
95310,91630,0
66142,74765,0
78933,41362,0
30621,6181,0
67991,95729,1
9299,59712,0
35858,48689,0
46365,59549,0
73753,90904,0
48229,94172,0
29888,79917,0
77718,25526,0
65655,74605,0
87416,27344,0
30215,16884,0
68549,19531,0
51458,76099,1
5699,24666,0
34642,73156,0
13019,94609,1
9431,31312,0
44259,37206,1
93314,11463,0
95288,86702,0
48448,24495,0
22832,96127,0
52130,11393,1
88801,45404,0
41301,63566,0
23537,55805,0
35187,87406,0
8641,67184,0
8834,5074,0
79714,87562,0
56526,65692,1
81984,59350,0
60952,17153,0
86791,45315,0
81696,93210,0
5530,58493,0
77734,14004,1
53126,35130,0
71108,46234,0
27685,2964,0
7953,81947,0
44841,1556,1
33580,21323,0
98571,81450,0
53409,7617,0
94841,76164,0
44280,77739,1
40794,92656,0
28750,90202,0
27099,57316,1
26710,21408,0
25345,26397,0
75143,78149,0
29828,3386,0
32166,69813,0
24759,71833,0
98572,87840,0
76124,12865,0
33958,97086,0
73139,69296,0
31626,67984,0
35467,61139,0
73719,43028,0
75155,38570,0
72339,3266,0
1839,63952,0
81921,7353,0
67945,40599,0
40079,2005,0
71644,77377,0
54672,80224,0
59904,18417,1
58730,99753,0
24107,43238,0
96891,62817,0
41408,60461,0
70666,53298,0
52640,61039,0
33201,9637,0
10626,25730,0
16248,40751,0
58551,53344,0
67382,91502,0
16013,86712,0
33883,61046,1
47646,63869,0
98927,1328,0
19644,94482,0
33329,45958,0
33813,90921,0
1006,85061,0
66331,60595,0
10001,93833,0
48263,49937,1
2977,4283,0
91091,66401,0
36705,46157,0
49162,50635,0
85464,16839,0
35605,86103,0
98700,67795,0
59209,23597,0
88721,85986,0
76022,27626,0
59305,21862,0
98302,97101,0
89374,20460,0
17769,14815,0
464,79687,1
79884,20307,0
88045,16460,0
62683,55374,0
26090,32882,0
94772,69419,0
40548,75921,0
3150,2796,0
50834,77872,0
71876,69454,0
50016,41221,0
41622,53107,0
42009,2716,1
808,85404,0
45631,29155,0
36838,36541,1
41042,34807,0
96518,80978,0
566,6650,0
53935,60517,0
14548,84039,0
15075,56488,0
75145,45294,0
16601,74338,0
76985,445,0
85206,47845,0
27842,30337,0
96207,43257,0
98324,70209,0
9678,24908,0
40062,7914,1
54976,58757,0
36399,20313,0
82670,83795,0
48432,30682,0
61447,62628,0
33753,49782,1
19246,90792,0
52795,89940,0
40016,51855,0
97088,87736,1
47003,54319,0
7277,28907,0
73394,4255,0
29856,14208,0
84033,72625,1
59529,30696,0
25999,75550,0
10972,36406,0
96142,7318,1
45851,13194,0
85403,76324,0
76910,45273,1
12686,57007,0
36963,94898,0
31322,42329,0
85245,22337,0
60049,67382,0
8582,19551,0
72076,54095,0
41001,55508,0
44339,69293,0
2023,41593,0
11042,97895,0
22870,52534,0
35885,29255,0
47440,53185,1
49275,60283,0
9499,9944,0
35275,18047,0
5462,43468,0
98586,96515,0
75207,15068,1
48052,78403,0
68359,10316,0
60118,58844,0
33355,41011,0
61183,79062,0
4076,90688,1
70226,62539,0
21218,39309,0
28215,17475,1
46,87478,0
26024,21549,0
79979,18153,0
37196,58787,0
67204,6061,0
11676,35098,0
72934,19325,0
23534,27281,0
86413,90039,0
14237,98508,0
75681,17116,0
27915,39377,0
5312,18549,1
85489,12539,1
48381,97101,0
1272,47955,0
40969,32888,0
76195,66057,0
9560,42970,0
49017,37019,0
40040,19451,0
23765,90893,0
66666,80455,0
623,91376,0
78017,86065,0
23355,87766,0
90428,10704,0
10135,22572,0
19887,89273,0
40885,21967,0
29777,35612,0
2660,7626,0
63380,62268,0
59433,79796,0
61489,90279,0
18828,59087,0
93502,70080,0
31876,18546,0
91469,17007,0
43978,74438,0
28715,68603,0
15827,78978,0
62828,41401,0
55893,11736,0
22513,58792,0
91336,67404,0
6879,14033,0
32942,65114,0
54169,76008,0
92893,50627,0
26486,59004,0
5087,99312,0
81431,58388,0
449,44676,0
90976,81745,0
9891,60085,1
55080,1618,0
53347,44553,0
13163,73194,0
5977,4011,0
97401,45095,0
26078,91397,0
84455,69362,0
18038,10320,0
97578,69317,0
41207,52271,0
49644,23697,0
33353,47459,0
36759,63832,0
73481,75863,0
41143,93000,1
41520,23119,1
17695,86273,0
9448,44744,0
82564,58708,0
85254,1908,0
29468,9429,0
30646,72631,0
61172,18266,0
28961,77022,0
19077,74988,0
86100,81220,1
48470,45160,0
62608,5082,0
41913,26083,0
62257,21341,1
72932,63745,0
47796,74723,1
58708,35539,0
64434,9724,1
11334,52290,0
59055,99332,0
64104,50630,0
34996,17007,0
25789,56229,0
25292,90867,0
76626,33206,1
81085,38514,0
98078,40573,0
42080,1648,0
89530,63924,0
40704,75869,0
54290,77563,0
4674,49335,1
61135,60478,0
8363,6851,0
5949,33473,1
84867,83738,0
22344,64918,0
72653,28472,0
8456,80888,0
45953,59945,0
1436,52298,0
14250,4992,1
85831,46782,0
50677,93001,0
41264,85507,0
83818,21794,0
37231,24324,0
70301,90225,0
4708,59871,0
58906,14252,0
91594,12636,0
77747,33054,0
61847,11294,0
13044,95224,0
2434,54334,0
31217,68802,0
87676,11615,0
21888,50414,0
75191,96990,0
93508,64307,1
44521,71110,0
70488,36875,0
56618,29925,0
32550,81254,0
79238,39279,1
15505,87788,1
30476,92434,0
56535,72285,0
19139,55012,0
26389,89029,0
93244,23465,0
53057,59662,0
35631,5190,0
41636,75263,0
71836,37090,0
71710,16018,0
30488,18816,0
40437,17077,0
82281,31043,0
61346,66133,0
25555,65458,0
35485,64114,0
46430,95774,0
63354,5659,1
76173,64643,1
99569,19188,0
40386,21970,0
11591,50881,0
86120,82172,0
99278,54195,1
33490,27927,0
89977,9764,0
79835,14156,0
7088,18128,0
54905,91406,0
9302,89071,0
34773,30084,0
69116,41118,0
46806,7277,0
94969,66334,0
35773,48060,1
60433,73726,0
71692,98364,0
14096,51210,0
9271,66709,0
22676,34507,0
94665,42508,0
70130,41275,0
75276,24816,0
56650,17664,0
63430,48409,0
49455,17599,0
1312,70460,1
44823,83780,0
58153,62211,0
97285,16617,1
85683,3813,0
2014,90043,0
14298,77044,0
80439,63395,0
15806,8223,0
25830,64755,0
12930,78224,0
12412,29671,0
31049,2134,0
71644,46556,0
34126,39784,0
77963,5260,0
86331,75659,0
42094,46580,0
8576,53873,0
97513,50556,0
21832,92817,0
61375,52962,0
65256,8488,0
71580,6922,0
50271,51577,0
99606,1201,0
8642,50694,0
944,77755,1
91518,69970,0
26716,66498,0
62968,89718,0
20844,93468,1
95313,38525,0
49513,91605,0
9372,4758,0
87780,13410,0
85170,38695,0
4600,72177,0
50790,72510,0
42770,58066,1
77525,24008,0
84418,37515,0
3691,42210,0
71484,81213,0
58570,72298,0
51195,93526,0
51164,94578,0
37551,84489,0
66202,87221,0
84858,86823,0
66754,30005,0
37046,65605,0
54290,15159,0
3274,49149,0
41189,28839,0
95102,86754,0
45647,92000,0
59852,96004,0
82664,85146,0
4821,84380,0
81358,81947,0
58562,6553,0
57454,79396,0
87010,20331,1
85963,45610,0
34542,93895,0
89160,44432,0
24412,79702,0
23771,96958,0
36823,46475,0
85941,83572,0
90669,310,0
41559,21635,0
31568,35759,0
24368,39265,1
33469,98003,0
59351,17741,0
42408,98570,0
39629,7423,0
91895,24484,0
1547,14891,0
27193,62522,0
3409,12579,0
26609,72111,0
42823,11829,0
75812,38782,0
90925,64416,0
52443,53458,0
32098,48278,0
85109,11691,1
98255,7801,1
54936,47222,0
47927,29962,0
52075,28173,0
83456,37961,1
65232,83632,0
53642,46956,1
73623,79401,0
72846,32158,0
24731,75172,0
20439,85294,0
15723,98431,0
15991,59065,0
35811,61990,0
99970,56850,0
80764,77452,0
66356,51919,1
14626,43458,0
89679,3855,0
17081,30413,0
35704,93605,0
62151,60315,1
65737,78187,0
98470,47405,0
71999,53700,0
41536,70540,0
71670,56070,0
90958,16256,0
92385,3225,0
672,54204,0
90607,68564,0
64626,98863,0
23793,34153,0
19764,33131,0
68437,97024,0
6258,19257,0
71534,5355,0
98121,16181,0
94200,10816,0
94810,42049,0
58648,61551,1
32346,74531,1
21792,4040,0
31681,86594,0
20693,91574,0
65850,53296,0
73761,8261,0
22125,36460,0
47240,20429,0
98592,40483,1
41744,38492,1
52390,93209,1
48300,71222,0
45336,58382,0
73526,22546,0
94939,93452,0
20571,63809,0
37669,73484,0
75045,4940,0
15685,89990,0
93881,18668,0
54150,77609,0
377,16904,0
79839,27353,0
95539,80954,0
30195,95446,0
7346,92890,0
43352,23232,0
51726,45490,0
50808,77777,0
95332,48105,0
19669,71084,1
18050,13710,0
4992,64622,1
98837,78654,0
3073,22675,0
91919,49693,0
57258,40588,0
43199,7973,0
35338,65563,0
57438,61121,0
57496,68733,0
28107,28983,0
91552,99127,0
12158,7569,0
46998,23782,0
17477,8596,0
12774,98894,0
86279,41857,0
78200,76974,0
49438,95295,0
66917,95922,0
85338,32571,0
27002,88740,0
90345,44648,0
21551,2411,0
53721,12517,0
75123,79255,0
29277,83705,0
63489,66282,0
3984,20966,0
67295,64481,0
88368,79338,0
61597,46330,0
40741,37345,0
1309,49585,1
71092,83763,1
15753,22385,0
4543,98771,1
85575,29185,0
67621,55341,0
75890,44018,1
30996,1734,0
99072,44727,1
64521,84931,0
47891,14618,0
94707,15017,0
48268,86598,0
38819,67293,0
25516,46833,0
90992,46549,0
30096,72648,1
33740,83894,0
92181,51984,0
69476,4155,0
54556,90709,0
20330,16921,0
37320,97017,0
36070,12731,0
77253,82310,0
68364,4933,0
4520,62061,0
99941,72934,0
39280,21065,0
48065,87416,0
86316,94325,0
3918,56905,0
4283,16342,0
25151,28249,0
84084,6793,0
50590,43137,0
305,9069,0
69788,8703,0
75187,65203,0
29235,37461,0
53226,75052,0
10528,80382,0
36816,68475,1
17525,94567,0
94318,4831,0
43634,21891,0
59043,40707,1
63935,55085,0
28277,87153,0
50985,35008,1
96455,16304,0
50189,76466,0
84781,76753,0
80700,64330,1
8898,62361,0
56552,6689,0
40255,99641,0
47579,13050,0
99929,96588,0
62227,44185,0
55244,78652,1
64225,31257,0
69641,32042,0
88773,5347,0
51609,57799,0
6784,3448,0
85208,53682,0
2065,54582,0
42578,64700,0
74180,28909,0
88575,63159,0
31022,82066,0
30548,73101,0
66948,86852,0
27075,74216,0
65646,6452,0
78639,81881,0
25358,92954,0
75903,13559,0
4358,3100,1
38534,49185,0
39684,17813,0
99405,16924,1
44210,17011,0
99760,66961,0
1607,56629,1
42206,40275,0
52966,45791,0
22407,21794,0
93418,48443,0
52898,69292,0
12581,82237,0
64095,24917,0
80899,72433,0
34603,9482,0
12888,7671,0
69387,75500,0
44380,89942,1
33000,72612,0
25946,97662,0
6414,29357,0
84064,10585,0
44004,72799,0
38846,8440,0
1801,18128,0
45191,9981,0
22299,80056,0
93265,15952,0
97854,11560,1
40277,84198,0
86182,92188,0
65862,91062,1
90958,93491,0
18909,20465,0
14310,64487,0
10893,30865,0
54029,41871,1
73980,70098,0
37171,40533,0
41388,17627,0
63611,58657,1
47249,4071,1
43316,42034,0
85804,36308,0
83812,24392,0
46337,51523,0
36554,80921,0
859,14934,0
62418,35534,1
89321,60709,0
85634,96862,0
61987,8193,1
99549,21068,0
42586,54800,0
28876,49681,0
57528,29086,0
32598,35997,0
70869,21301,0
62054,48398,0
44223,50455,0
54549,52841,0
82249,92532,0
83030,90163,0
44770,2499,1
59741,21674,0
76615,77978,0
62971,73565,1
41722,17874,0
76795,73797,0
83364,797,0
59421,83978,0
3479,19136,0
902,49756,0
57622,79228,0
81848,64989,0
16707,10720,0
51952,30890,0
25889,16659,0
53453,41301,0
89594,70310,0
72880,23602,0
10028,30,0
95933,26801,0
92406,38965,0
94085,77019,0
15980,50205,1
46994,90512,0
98777,21244,0
35803,73587,0
92780,94803,1
48186,11063,0
36959,25657,0
63524,83026,0
77625,85381,0
67631,90666,0
97273,29312,0
6328,88935,0
2959,73290,0
89690,10573,0
80206,96835,0
51616,55920,0
14207,10308,0
76079,73299,0
68082,51090,0
41061,23368,0
61799,5253,0
53216,91123,0
19548,29560,0
37902,73112,0
77610,5872,0
48646,12195,0
37714,5118,0
4010,26913,0
98354,31668,0
2258,79214,0
10227,10317,0
80088,64922,0
84963,55235,0
21263,98089,0
7948,41543,0
7411,78531,0
60920,56815,0
62650,84583,0
44607,80802,0
96964,47573,0
91808,74834,0
43099,36528,0
36484,22792,0
93139,77831,0
304,8939,0
1872,51467,0
31343,43310,0
70146,26571,0
13930,22558,0
6935,13228,0
70332,70528,0
76917,73374,0
22716,2264,0
7764,40298,0
28498,7794,0
85793,3449,0
76774,9852,0
56709,11786,0
74973,55891,1
52669,96196,0
3488,79476,0
87454,64253,0
46446,59356,0
58434,41392,0
63092,39922,0
65679,71189,0
50389,65298,0
51283,97712,0
74832,96176,1
26253,69016,0
70537,38780,0
19444,42555,0
26229,61876,0
46240,49833,0
63120,14947,0
50175,7482,1
75442,34448,0
5594,3809,0
25014,90652,0
768,91450,0
80430,9494,0
13121,4776,0
6153,42411,0
51826,75120,0
17784,2367,0
72816,11075,1
62164,28814,0
86102,8554,0
95260,40026,0
93747,70202,0
227,97652,0
59093,76129,0
41585,53089,0
54201,43585,0
44274,88070,0
58243,19367,0
51268,78037,0
9680,32566,0
54096,14776,1
20984,73775,0
50027,83541,0
93471,92916,0
52405,24694,0
25257,49330,0
36687,93834,0
31651,60973,0
25423,62813,0
5360,76879,0
77333,88871,0
5670,49697,0
98487,9310,0
80333,15831,0
24371,93534,0
96610,60576,0
20324,50010,0
94281,1890,0
33001,83281,0
70636,44942,0
3509,94623,0
81683,26945,0
77027,5682,0
79576,99998,0
78002,74356,0
98363,27418,1
19750,28650,0
32358,86351,0
15976,17266,0
7461,50900,0
14210,10168,0
6721,30443,1
73716,48582,0
60905,83542,0
67206,80135,0
17764,23977,0
48748,39709,0
44270,11097,0
46111,25123,0
86350,71760,0
25733,19785,0
69155,96611,0
33372,31972,0
48958,52744,0
18673,22615,0
93373,1471,0
95388,3068,0
31217,34917,0
34663,42120,0
95707,58115,0
61656,79907,0
68726,17643,0
51106,28799,0
52567,42076,0
92904,8646,0
91279,76400,0
27638,61403,0
31741,67289,0
1921,72416,0
54841,74169,0
84293,95409,0
85737,34141,0
16802,15806,0
15251,73793,0
76511,68260,0
45188,93145,0
89164,41254,0
60476,4010,0
20848,17360,0
81173,50362,0
20871,33205,0
68390,75850,0
59614,87646,0
38498,19340,0
85754,71018,0
21112,26672,0
18805,55840,0
43001,11202,0
1561,42615,0
90831,22115,0
11561,16033,0
88191,11844,0
1336,30055,1
1484,94321,0
88790,76193,0
318,83251,0
49530,32887,0
68445,19225,0
99117,76720,0
34644,47886,0
52973,57644,0
90472,70894,0
29544,3630,1
8180,34847,0
12522,65755,0
39916,8480,0
82389,65513,1
46273,27905,0
26832,35185,1
66223,34280,0
78414,35903,1
68542,47843,0
93127,401,0
83184,39393,1
14693,11268,0
4123,25408,0
45151,56895,0
19108,57514,1
29446,54799,0
81778,78695,0
64566,10993,0
6635,94616,0
289,60512,0
2464,56016,0
3167,29957,0
88063,55137,0
61314,38124,0
31084,32384,0
89879,22532,0
73081,8432,0
32808,89242,0
27960,22452,0
84114,55530,0
45584,17861,0
39649,19887,0
6310,42991,0
22,55666,0
66519,36726,0
40159,69340,1
14880,55936,0
72609,96009,1
66813,59945,0
24935,52485,0
1102,59464,0
76785,48201,0
24908,99963,0
65308,94087,1
42011,35817,0
489,52491,0
39853,63956,0
39268,3162,0
22290,54202,0
19046,41410,0
40308,81122,1
95141,5907,1
14692,39758,0
51316,14024,0
86069,68351,0
52206,93905,0
20178,38779,0
27964,53241,0
14757,56832,1
17204,68940,0
47344,99214,0
8422,89634,1
15180,4253,0
55147,80592,1
56690,80252,0
5503,12373,1
22752,19047,0
14298,19625,0
97993,8937,0
73878,85662,0
28005,7454,0
24969,79086,0
18787,93864,0
27614,28007,0
89200,22534,1
65944,64574,0
23474,95563,0
56123,97185,0
47011,31779,0
22702,37657,0
14063,5628,0
28860,96310,0
73805,96938,0
44447,823,0
34633,45508,0
87548,98273,0
35569,83314,0
48408,20854,0
33433,89819,0
78243,36895,1
27849,63396,0
91006,43882,0
60070,57924,0
51331,19047,0
92215,6132,0
20436,2229,0
86329,81736,0
2541,63980,0
73467,82237,0
78269,50961,0
13533,26928,0
24206,78872,1
66376,47473,0
45295,5103,1
41355,70827,1
12079,99073,0
97369,7337,0
29446,73571,0
91536,65415,0
16960,77373,0
58592,8389,1
1627,12538,0
84155,67070,0
25692,7118,0
51708,10376,0
41526,51508,1
46476,28634,0
76291,85534,0
61421,46641,0
84375,87280,0
82423,28355,0
59142,1789,0
73816,41318,0
97131,92248,0
17535,10600,0
8858,24876,0
63479,10733,0
88163,8294,0
98052,95751,0
35111,67235,0
15984,54,0
24067,32368,0
14714,37891,0
99894,41148,0
93428,43937,0
32085,50014,0
66205,75753,1
29246,30957,1
45367,97585,0
84342,70438,0
23233,54527,0
85659,9260,1
54445,99770,0
92495,23972,0
46621,33423,0
94164,88427,0
36410,83415,0
355,37800,1
32382,40639,0
49732,68224,0
90727,21847,0
59608,6317,0
45768,17275,0
29741,1058,1
20626,71676,0
34653,30226,0
36518,84356,1
76567,6373,1
85991,56439,0
36566,86139,0
67651,17007,0
22248,31201,0
70264,63162,0
76380,40573,0
79821,7970,0
17688,53380,1
28810,9680,0
82772,5979,0
53028,628,0
48898,89249,0
36541,54307,0
11252,90767,1
77161,17992,0
48630,80154,1
95821,5645,0
45170,23371,1
13124,40035,0
26119,6940,0
27540,8820,0
71186,84394,0
75828,86907,0
61407,21509,0
7108,85420,0
77522,89641,0
8534,22994,1
71780,56044,1
75635,39049,0
38941,52305,0
5977,15061,0
98816,98311,0
43750,17601,0
35118,9995,1
14391,79822,0
93752,4102,0
19063,14755,0
4799,97884,0
66741,8662,0
44687,56828,0
48620,82723,0
58132,66505,0
39284,34853,0
46704,21868,1
2071,80344,0
68459,73224,0
24190,15200,0
29521,29122,0
62577,59599,1
76978,51531,0
72828,50932,0
3623,23346,0
33479,59628,1
25864,88055,0
84686,89644,0
95926,6792,0
78367,93009,0
8589,90156,0
38033,15505,0
13022,87356,1
57006,38170,0
31165,42289,0
56789,21601,0
67095,25308,0
20952,94401,1
5269,85540,0
30387,18741,1
70825,30047,0
58806,25402,0
41671,44570,0
94355,95125,0
58214,17085,0
13310,69848,0
48188,32093,0
14288,4798,1
2480,15892,0
44886,30111,0
28567,59082,0
29851,68063,0
65270,65828,0
12572,89821,0
27330,1851,0
39145,18043,0
5772,9204,0
80866,1163,0
23459,90491,0
41386,58051,1
67944,54984,0
6173,3107,1
42225,2732,0
69107,99857,0
51452,27115,0
17290,47809,0
74971,49245,0
17605,75187,1
42478,35259,0
98098,92587,1
95306,24569,0
52700,31115,0
68337,13658,0
89819,86741,0
66710,14876,0
16524,40192,0
50854,9798,0
13699,32042,0
5052,99631,0
45624,35966,0
63730,11745,0
93649,57561,0
60201,26894,0
97701,39739,0
3193,1457,0
8559,61439,0
21329,63554,1
71009,99701,0
14678,76195,0
24298,58395,0
94648,16590,0
78863,59604,0
38990,8641,0
36414,18771,0
9110,65739,0
41541,85771,0
12439,87027,1
68391,25782,0
11635,58193,1
24359,68583,0
31614,6183,0
77764,40908,0
13408,95930,0
53252,18778,0
72342,8124,0
92512,9811,0
10727,20319,0
3169,46923,0
83936,35720,0
64947,20692,0
90774,34930,1
97670,82242,0
89576,1173,1
97576,35333,1
84324,43533,0
82086,72251,0
89566,26976,0
99164,34898,0
24275,11097,0
35057,8999,0
9485,26516,0
55199,4180,0
23391,95375,0
92739,34489,0
54091,75167,0
66479,87075,0
3270,24436,0
4529,12580,1
31033,25299,0
6693,90422,1
67679,84206,0
58978,62609,0
56424,79276,0
78890,16427,0
82395,52798,0
79686,733,0
80469,56709,0
57547,27089,1
4528,63311,0
6506,44012,1
82491,2065,0
68118,12595,0
65752,53573,0
72486,25487,0
8141,28167,1
26258,90373,0
49549,82426,0
8241,53956,1
52663,29091,0
61571,44951,1
81003,55756,0
57711,611,0
20463,9800,1
7609,1637,0
62223,43134,0
71058,10770,1
52532,71135,0
79513,75227,1
92400,26894,0
8888,45709,0
22227,5959,0
54929,33005,0
58079,11522,0
46469,83032,1
60630,80006,0
84141,96969,0
47601,52965,0
95367,80727,0
57028,24823,0
126,85837,0
12399,27810,0
75291,51559,0
11468,84148,0
17836,84348,1
50529,41603,0
645,75292,0
83311,27165,0
55371,21665,0
92405,28683,0
51661,47452,0
86920,23107,0
37630,33571,0
45441,36550,0
25664,48384,0
86836,86583,0
91961,14428,0
86869,75789,0
65065,53630,0
82542,29245,0
63739,22757,0
56232,42985,1
1887,16915,1
17025,70262,0
98217,28723,0
36676,75211,0
69825,16749,0
60866,67854,0
49783,13263,0
35898,6826,0
68873,32817,1
16150,18400,0
35723,23023,0
83384,24043,0
68324,72047,0
47747,35853,0
24003,66244,0
71316,73293,1
42490,7851,0
71547,99770,0
85362,18524,0
27118,81554,0
81367,26344,0
52974,83772,0
38266,68799,1
40123,8561,0
83455,55413,0
31405,63531,0
39261,81481,0
96135,4600,0
67395,63933,0
23370,28050,1
45556,19876,0
1710,50004,0
64065,33724,0
77095,22646,0
98375,77742,0
2056,53084,1
72704,15116,0
36860,95491,0
14256,44657,0
69182,49560,0
36062,82538,1
12755,12140,0
15275,77731,0
24931,89345,0
90497,46149,0
67837,11120,0
97440,17372,0
49762,35632,0
74198,98868,0
542,3221,0
82446,86936,0
94159,81254,0
98764,36352,0
60735,31859,0
27269,82238,0
158,58522,1
55917,64735,0
17441,69303,0
47976,31599,0
55124,40967,0
22884,52810,0
5773,2411,0
16692,92355,0
31259,55188,0
22224,58455,0
77456,42701,0
63627,17821,1
53386,8587,0
45465,67988,0
64378,3392,0
71869,11739,1
11025,78586,0
26250,52513,0
27286,64350,1
84395,96292,0
28623,78300,0
38599,70692,0
9387,42997,0
259,81608,0
51162,92423,1
39547,41417,1
21952,70175,1
2700,85564,0
68249,1400,0
55509,87267,1
97264,17706,0
71219,99136,0
82662,11957,0
24704,68219,1
13524,20474,1
48283,17767,0
13436,69262,1
67289,97011,0
96120,83704,1
93475,51375,0
14537,50015,0
94724,56931,0
93932,8788,0
78246,14405,1
91303,66873,0
66396,65215,0
27097,87091,0
59777,39932,0
76538,35764,0
33753,10958,1
37942,2546,0
91737,18941,0
1827,68526,1
92770,49899,0
35883,44554,0
30604,47089,0
76840,4588,0
42566,99292,0
9942,28378,0
52460,33728,0
17788,37851,0
32020,54523,0
10987,93983,0
69048,42526,0
26532,13951,0
19614,43318,1
51336,71952,0
67543,46326,0
95090,40256,0
93671,9549,0
77464,22484,0
76851,50427,0
41882,19977,0
89912,87117,0
74955,19449,0
63578,97447,0
22028,79637,0
69024,9674,0
34174,85499,0
65774,43385,0
26390,31228,0
62785,57524,0
31253,50748,0
32231,33591,0
43657,384,0
70336,97614,0
32885,87518,0
49470,11094,0
5323,53854,0
1976,17233,0
33973,63095,0
84143,1977,0
74667,48997,0
24403,26731,0
61971,56242,0
83089,33518,0
42233,31882,1
67205,67221,0
13552,50190,0
32105,86787,0
3335,78536,0
54329,69119,0
9075,76555,0
94475,23495,0
69271,84349,1
1164,25974,1
35914,77172,0
41843,30019,0
53254,22880,0
9366,29566,0
75581,8851,0
43434,18936,0
33110,3518,0
46496,3237,0
46163,76101,0
49950,11299,0
11285,48257,0
26874,24254,0
90454,35193,0
48930,49530,0
24936,77338,1
50243,3813,0
58942,38184,0
71093,91355,0
